"Timestamp","Language ","Role","Department:","Years of Experience (for Faculty Members):","How do you currently seek academic support? (Select all that apply)","How satisfied are you with the current academic support available?","What are the common issues you face when seeking academic support?","Which features do you think are most important for an academic support chatbot? (Rate each feature from 1 to 5, where 1 is not important and 5 is very important)","How often do you think you would use an academic support chatbot?","What type of responses do you expect from the chatbot? (Select all that apply)","How important is data privacy to you when using an academic support chatbot?","What concerns do you have about using an academic support chatbot? (Select all that apply)","Additional Features: (Paragraph)","Other Comments: (Paragraph)","الدور:","القسم:","سنوات الخبرة (لأعضاء هيئة التدريس):","كيف تحصل على الدعم الأكاديمي حاليًا؟ (اختر جميع ما ينطبق)","ما مدى رضاك عن الدعم الأكاديمي الحالي المتاح؟","ما هي المشاكل الشائعة التي تواجهها عند طلب الدعم الأكاديمي؟","ما هي الميزات التي تعتقد أنها الأكثر أهمية لروبوت الدعم الأكاديمي؟ (قيم كل ميزة من 1 إلى 5، حيث 1 غير مهم و 5 مهم جدًا)","كم مرة تعتقد أنك ستستخدم روبوت الدعم الأكاديمي؟","ما نوع الاستجابات التي تتوقعها من الروبوت الذكي؟ (اختر جميع ما ينطبق)","ما مدى أهمية الخصوصية بالنسبة لك عند استخدام روبوت الدعم الأكاديمي؟","ما هي مخاوفك بشأن استخدام روبوت الدعم الأكاديمي؟ (اختر جميع ما ينطبق)
","ما الميزات الإضافية التي تود رؤيتها في روبوت الدعم الأكاديمي؟","أي تعليقات أو اقتراحات أخرى لتحسين الدعم الأكاديمي في جامعتنا؟"
"2024/06/03 5:39:12 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","3-5 سنوات","ساعات الدوام الشخصي;البريد الإلكتروني","راضٍ جدًا","وقت استجابة طويل","الإجابة على الأسئلة الشائعة","يوميًا","استجابات نصية","مهم جدًا","الخصوصية البيانات;دقة المعلومات;سهولة الاستخدام;الموثوقية","",""
"2024/06/03 5:42:34 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","المنتديات عبر الإنترنت;دعم من طلاب","غير راضٍ","عدم توفر الموظفين","توفير الموارد الأكاديمية","يوميًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة;أخرى (يرجى التحديد)","مهم جدًا","الخصوصية البيانات;دقة المعلومات;سهولة الاستخدام;الموثوقية","",""
"2024/06/03 5:44:05 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي;البريد الإلكتروني;المنتديات عبر الإنترنت;دعم من طلاب","غير راضٍ جدًا","وقت استجابة طويل","توفير الموارد الأكاديمية","أسبوعيًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة","مهم","سهولة الاستخدام;الموثوقية","",""
"2024/06/03 5:45:44 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","3-5 سنوات","البريد الإلكتروني","محايد","معلومات غير دقيقة","جدولة المواعيد مع أعضاء هيئة التدريس","أسبوعيًا","مساعدات بصرية (رسوم بيانية، مخططات)","محايد","سهولة الاستخدام","",""
"2024/06/03 5:47:16 PM GMT+3","English","Student","Artificial Intelligence","","In-person office hours;Peer support","Neutral","Inaccurate information;Lack of resources","Scheduling appointments with faculty","Weekly","Text-based responses;Links to resources;Step-by-step guides","Very Important","Accuracy of information;Reliability","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي;دعم من طلاب","محايد","نقص الموارد","تقديم نصائح واستراتيجيات دراسية","أسبوعيًا","استجابات نصية;روابط للموارد;إرشادات خطوة بخطوة","مهم جدًا","دقة المعلومات;الموثوقية","",""
"2024/06/03 5:47:17 PM GMT+3","English","Student","Computer Scinece","","In-person office hours;Online forums;Peer support","Satisfied","Long response times;Unavailability of staff;Inaccurate information","Handling administrative queries (e.g., registration, deadlines)","Weekly","Step-by-step guides","Very Important","Data privacy;Accuracy of information;Usability;Reliability","","","طالب","علم حاسوب","","ساعات الدوام الشخصي;المنتديات عبر الإنترنت;دعم من طلاب","راضٍ","عدم توفر الموظفين","جدولة المواعيد مع أعضاء هيئة التدريس","أسبوعيًا","إرشادات خطوة بخطوة","مهم جدًا","الخصوصية البيانات;دقة المعلومات;سهولة الاستخدام;الموثوقية","",""
"2024/06/03 5:47:47 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي;المنتديات عبر الإنترنت","محايد","معلومات غير دقيقة","توفير الموارد الأكاديمية","يوميًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات)","مهم جدًا","الخصوصية البيانات;الموثوقية","",""
"2024/06/03 5:49:36 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","ساعات الدوام الشخصي","غير راضٍ","وقت استجابة طويل","الإجابة على الأسئلة الشائعة","أسبوعيًا","استجابات نصية;مساعدات بصرية (رسوم بيانية، مخططات)","مهم جدًا","الخصوصية البيانات;دقة المعلومات;سهولة الاستخدام;الموثوقية","تحديث البيانات بشكل مستمر","سرعة الاستجابة"
"2024/06/03 5:51:28 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","ذكاء اصطناعي","","دعم من طلاب","","عدم توفر الموظفين","التعامل مع الاستفسارات الإدارية (مثل التسجيل، المواعيد النهائية)","يوميًا","استجابات نصية;إرشادات خطوة بخطوة","مهم جدًا","الخصوصية البيانات;دقة المعلومات","",""
"2024/06/03 5:55:52 PM GMT+3","Arabic","","","","","","","","","","","","","","طالب","علم حاسوب","","ساعات الدوام الشخصي;المنتديات عبر الإنترنت","راضٍ","نقص الموارد","الإجابة على الأسئلة الشائعة","أسبوعيًا","استجابات نصية;روابط للموارد;مساعدات بصرية (رسوم بيانية، مخططات);إرشادات خطوة بخطوة;أخرى (يرجى التحديد)","مهم جدًا","الخصوصية البيانات;دقة المعلومات;سهولة الاستخدام;الموثوقية","",""
